UHF42,Largest Property Use Type - Gross Floor Area (ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Total GHG Emissions (Metric Tons CO2e),number of restaurants,parks superficy,poverty percentage,traffic volume,Borough,NO2 | Annual Average 2009,NO2 | Annual Average 2010,NO2 | Annual Average 2011,NO2 | Annual Average 2012,NO2 | Annual Average 2013,NO2 | Annual Average 2014,NO2 | Annual Average 2015,NO2 | Annual Average 2016,NO2 | Annual Average 2017,NO2 | Annual Average 2018,NO2 | Annual Average 2019,NO2 | Annual Average 2020,NO2 | Annual Average 2021,NO2 | Summer 2009,NO2 | Summer 2010,NO2 | Summer 2011,NO2 | Summer 2012,NO2 | Summer 2013,NO2 | Summer 2014,NO2 | Summer 2015,NO2 | Summer 2016,NO2 | Summer 2017,NO2 | Summer 2018,NO2 | Summer 2019,NO2 | Summer 2020,NO2 | Summer 2021,NO2 | Winter 2008-09,NO2 | Winter 2009-10,NO2 | Winter 2010-11,NO2 | Winter 2011-12,NO2 | Winter 2012-13,NO2 | Winter 2013-14,NO2 | Winter 2014-15,NO2 | Winter 2015-16,NO2 | Winter 2016-17,NO2 | Winter 2017-18,NO2 | Winter 2018-19,NO2 | Winter 2019-20,NO2 | Winter 2020-21,PM2.5 | Annual Average 2009,PM2.5 | Annual Average 2010,PM2.5 | Annual Average 2011,PM2.5 | Annual Average 2012,PM2.5 | Annual Average 2013,PM2.5 | Annual Average 2014,PM2.5 | Annual Average 2015,PM2.5 | Annual Average 2016,PM2.5 | Annual Average 2017,PM2.5 | Annual Average 2018,PM2.5 | Annual Average 2019,PM2.5 | Annual Average 2020,PM2.5 | Annual Average 2021,PM2.5 | Summer 2009,PM2.5 | Summer 2010,PM2.5 | Summer 2011,PM2.5 | Summer 2012,PM2.5 | Summer 2013,PM2.5 | Summer 2014,PM2.5 | Summer 2015,PM2.5 | Summer 2016,PM2.5 | Summer 2017,PM2.5 | Summer 2018,PM2.5 | Summer 2019,PM2.5 | Summer 2020,PM2.5 | Summer 2021,PM2.5 | Winter 2008-09,PM2.5 | Winter 2009-10,PM2.5 | Winter 2010-11,PM2.5 | Winter 2011-12,PM2.5 | Winter 2012-13,PM2.5 | Winter 2013-14,PM2.5 | Winter 2014-15,PM2.5 | Winter 2015-16,PM2.5 | Winter 2016-17,PM2.5 | Winter 2017-18,PM2.5 | Winter 2018-19,PM2.5 | Winter 2019-20,PM2.5 | Winter 2020-21,O3 | 2-Year Summer Average 2009-2010,O3 | Summer 2009,O3 | Summer 2010,O3 | Summer 2011,O3 | Summer 2012,O3 | Summer 2013,O3 | Summer 2014,O3 | Summer 2015,O3 | Summer 2016,O3 | Summer 2017,O3 | Summer 2018,O3 | Summer 2019,O3 | Summer 2020,O3 | Summer 2021,PM2.5_AEDV | Estimated annual rate (under age 18) | 2005-2007,PM2.5_AEDV | Estimated annual rate (under age 18) | 2009-2011,PM2.5_AEDV | Estimated annual rate (under age 18) | 2012-2014,PM2.5_AEDV | Estimated annual rate (under age 18) | 2015-2017,PM2.5_AEDV | Estimated annual rate (age 18+) | 2005-2007,PM2.5_AEDV | Estimated annual rate (age 18+) | 2009-2011,PM2.5_AEDV | Estimated annual rate (age 18+) | 2012-2014,PM2.5_AEDV | Estimated annual rate (age 18+) | 2015-2017,PM2.5_CH | 2005-2007,PM2.5_CH | 2009-2011,PM2.5_CH | 2012-2014,PM2.5_CH | 2015-2017,PM2.5_D | 2005-2007,PM2.5_D | 2009-2011,PM2.5_D | 2012-2014,PM2.5_D | 2015-2017,PM2.5_RH | 2005-2007,PM2.5_RH | 2009-2011,PM2.5_RH | 2012-2014,PM2.5_RH | 2015-2017,O3_AH | Estimated annual rate (age 18+) | 2005-2007,O3_AH | Estimated annual rate (age 18+) | 2009-2011,O3_AH | Estimated annual rate (age 18+) | 2012-2014,O3_AH | Estimated annual rate (age 18+) | 2015-2017,O3_AH | Estimated annual rate (under age 18) | 2005-2007,O3_AH | Estimated annual rate (under age 18) | 2009-2011,O3_AH | Estimated annual rate (under age 18) | 2012-2014,O3_AH | Estimated annual rate (under age 18) | 2015-2017,O3_CRD | 2005-2007,O3_CRD | 2009-2011,O3_CRD | 2012-2014,O3_CRD | 2015-2017,O3_AEDV | Estimated annual rate (age 18+) | 2005-2007,O3_AEDV | Estimated annual rate (age 18+) | 2009-2011,O3_AEDV | Estimated annual rate (age 18+) | 2012-2014,O3_AEDV | Estimated annual rate (age 18+) | 2015-2017,O3_AEDV | Estimated annual rate (under age 18) | 2005-2007,O3_AEDV | Estimated annual rate (under age 18) | 2009-2011,O3_AEDV | Estimated annual rate (under age 18) | 2012-2014,O3_AEDV | Estimated annual rate (under age 18) | 2015-2017
101.0,127087.26394052044,4.956170212765958,56863648.30524193,598313.4263829788,3256.3208178438663,1252,510.7495,16.2,104.62522857001521,Bronx,23.2,20.13,20.79,19.05,18.23,17.1,17.82,16.04,17.28,15.77,13.5,15.9,14.77,19.51,18.07,16.27,14.76,14.2,13.55,14.28,12.99,13.02,11.69,10.39,12.22,10.78,28.21,21.38,25.48,21.85,23.12,22.42,21.19,19.54,24.27,21.31,18.32,21.27,18.02,11.03,10.09,10.65,9.27,8.88,9.0,9.17,7.5,7.41,6.95,6.71,5.89,6.57,10.38,11.83,11.3,10.15,10.01,8.65,9.63,7.95,9.46,8.25,7.78,7.22,8.68,14.66,11.5,14.08,9.89,11.33,12.45,10.16,8.41,7.91,8.0,7.18,6.37,6.37,28.37,23.67,31.91,31.24,33.72,30.37,30.45,28.72,32.46,27.53,29.8,28.43,28.49,29.0,88.3,60.7,82.3,65.8,36.7,25.4,27.13,25.8,28.2,18.3,14.01,18.2,117.7,77.6,69.36,63.0,28.5,18.6,13.83,14.8,6.3,7.5,5.8,4.0,19.4,22.3,22.7,15.1,9.9,8.6,10.5,8.3,30.1,26.5,34.4,36.2,68.3,66.2,102.7,79.5
102.0,197555.7340425532,0.4272727272727273,8300407.041111111,85397.19545454545,882.6322222222221,2580,2073.038095238095,14.8,104.81221181314585,Bronx,22.39,20.21,21.06,20.02,18.37,18.97,19.52,17.52,18.87,16.16,14.67,16.75,15.98,17.94,17.86,17.16,16.25,14.27,15.4,15.79,14.6,14.37,13.05,12.28,13.0,12.38,27.63,22.66,25.99,22.15,22.24,24.6,23.37,21.25,26.39,21.29,19.11,21.91,19.18,10.68,9.65,10.48,9.11,8.73,9.0,9.13,7.55,7.46,6.99,6.68,5.95,6.49,10.33,11.83,11.39,10.23,10.17,8.71,9.73,7.93,9.25,8.33,7.7,7.17,8.54,13.58,10.23,13.35,8.94,10.59,12.2,10.14,8.31,8.14,8.13,7.19,6.66,6.32,28.64,26.82,33.96,33.44,35.09,31.68,31.49,29.93,33.21,29.01,31.24,30.34,30.85,30.37,152.6,73.4,139.92,108.6,69.4,37.6,57.7,48.4,25.9,16.2,12.96,18.5,77.3,57.0,47.87,47.3,25.9,18.6,14.24,15.4,9.0,9.8,10.3,6.6,28.1,32.2,42.4,33.3,5.4,5.4,6.6,6.2,58.3,42.2,81.9,66.9,114.5,79.3,184.4,143.0
103.0,92444.72984749456,0.3883248730964467,4003514.5148780486,40034.45355329949,578.7340611353712,3609,831.4058333333334,27.7,96.39674683181818,Bronx,24.82,22.06,22.61,21.01,19.89,19.44,19.76,17.93,19.15,17.25,15.17,16.98,16.03,21.15,19.72,18.38,17.13,15.98,15.79,16.04,14.79,14.87,13.3,12.17,13.15,12.15,29.69,23.87,27.53,23.32,24.13,24.97,23.33,21.54,26.33,22.82,19.92,22.59,19.33,11.1,10.26,10.77,9.47,9.06,9.19,9.14,7.57,7.52,7.19,6.7,6.0,6.58,10.6,11.97,11.48,10.35,10.29,8.76,9.73,8.05,9.39,8.55,7.77,7.22,8.67,14.47,11.4,13.92,9.88,11.27,12.51,10.16,8.33,8.09,8.22,7.2,6.68,6.41,27.48,24.47,32.53,32.08,34.08,30.79,30.7,29.53,32.78,28.34,30.6,29.64,30.17,30.0,167.2,122.8,191.4,153.6,108.2,68.7,77.59,64.1,30.6,18.8,14.53,21.2,67.3,49.6,43.54,41.4,28.1,20.5,17.08,19.4,14.4,14.4,15.0,10.0,34.5,43.6,51.0,39.1,3.3,4.0,4.2,4.0,84.1,73.6,99.5,85.5,115.8,125.0,232.6,187.8
104.0,160028.48547717842,0.8218274111675127,12971780.35936073,141733.32893401015,1244.6712499999999,4238,2193.195297619048,20.3,102.80789252293202,Bronx,22.83,21.04,21.61,19.94,18.58,19.26,19.36,17.92,18.72,16.89,15.47,16.19,16.01,19.03,17.88,17.17,16.09,14.69,14.96,15.12,14.25,14.14,12.84,12.8,12.14,12.32,27.61,23.85,27.63,22.44,22.38,25.82,23.7,22.02,25.91,22.91,20.36,22.22,19.55,10.59,9.68,10.5,9.23,8.74,8.97,8.93,7.5,7.52,7.0,6.74,6.12,6.6,10.44,11.87,11.46,10.29,10.26,8.55,9.68,8.06,9.29,8.39,7.81,7.14,8.53,13.3,10.14,13.3,9.45,10.53,12.05,9.87,8.07,8.18,8.06,7.31,7.28,6.56,28.68,26.72,34.31,34.24,35.44,32.06,31.93,31.41,33.63,29.79,31.52,30.87,32.05,30.29,162.5,121.9,133.94,105.2,79.7,57.5,58.78,44.6,28.4,19.3,13.9,19.2,73.6,54.5,45.4,42.8,24.4,19.7,13.87,15.9,10.2,11.7,10.5,7.0,28.0,34.2,36.5,28.7,4.4,4.5,5.5,4.8,64.8,58.1,78.0,60.2,114.6,116.0,164.3,131.3
105.0,96953.28115015975,0.5190812720848057,5162493.849324325,53296.893639575974,625.5396166134185,2014,431.5314166666667,33.6,91.6135955959709,Bronx,28.07,25.25,25.57,23.42,22.67,21.87,21.84,20.37,21.12,19.76,17.64,18.5,17.64,24.99,22.54,20.95,19.41,18.85,17.79,17.85,16.73,17.12,15.18,14.38,14.53,13.82,32.51,27.02,30.97,25.96,27.06,27.83,25.56,24.13,27.7,25.81,22.62,24.76,20.94,11.76,10.99,11.45,10.22,9.75,9.82,9.67,8.18,8.16,7.53,7.23,6.28,6.79,11.33,12.63,12.13,11.01,10.94,9.29,10.33,8.8,10.09,8.89,8.27,7.34,8.73,15.1,12.21,14.7,11.03,12.08,13.13,10.65,8.82,8.63,8.52,7.89,7.37,6.76,26.72,23.08,31.63,31.46,33.42,30.15,30.07,29.65,32.31,27.8,29.96,29.06,30.15,28.98,257.1,200.2,214.14,167.2,192.7,131.3,118.08,87.1,35.3,21.6,18.09,23.3,65.8,47.4,42.58,38.4,33.7,25.1,20.75,21.4,18.9,18.9,15.8,9.8,36.0,39.6,44.8,32.5,2.4,2.7,3.4,3.4,138.6,127.4,138.1,112.0,159.6,183.9,234.9,199.6
106.0,111269.07648725212,0.5319218241042346,6319824.425825826,61821.99185667752,650.2613636363636,2517,232.7472857142857,35.8,75.9946115553564,Bronx,29.35,26.38,26.67,24.23,23.73,22.56,22.28,21.08,21.66,20.83,18.76,18.92,18.04,26.46,23.66,21.95,20.12,19.9,18.26,18.15,17.13,17.68,15.85,15.43,14.75,14.19,33.61,28.03,32.09,26.85,28.3,28.68,26.0,24.83,27.97,27.05,23.89,25.81,21.5,11.8,11.0,11.44,10.26,9.83,9.87,9.6,8.16,8.16,7.68,7.14,6.12,6.63,11.44,12.66,12.14,11.03,10.95,9.27,10.27,8.85,10.13,9.06,8.27,7.24,8.6,15.06,12.17,14.72,11.24,12.26,13.2,10.55,8.71,8.59,8.59,7.75,7.11,6.59,26.33,22.64,31.25,31.12,33.23,29.92,29.91,29.93,32.34,27.72,29.68,28.62,30.13,29.2,308.0,249.3,232.54,188.6,193.7,130.1,117.38,98.1,39.0,24.1,17.83,23.5,84.8,55.8,47.64,43.0,42.2,27.6,23.46,25.8,18.5,16.4,16.1,12.0,35.1,38.2,48.7,39.4,2.8,2.8,3.7,3.9,124.0,113.1,134.5,124.9,171.2,202.0,248.9,220.8
107.0,95933.80625,0.6470149253731343,5462430.708333333,57326.12089552239,497.035,2492,145.922,36.3,86.78547985332216,Bronx,26.39,24.1,24.58,22.27,21.54,21.14,20.91,19.91,20.39,20.23,18.75,18.43,18.52,23.0,20.82,19.66,17.94,17.46,16.43,16.47,15.59,15.85,15.21,15.52,14.29,15.11,30.82,26.48,30.73,25.17,26.07,27.93,25.21,24.04,26.96,26.75,24.22,25.29,21.87,11.45,10.48,11.24,10.02,9.57,9.75,9.62,8.26,8.26,7.85,7.52,6.36,6.98,9.74,11.12,10.67,9.49,9.39,7.64,10.35,8.97,10.2,9.23,8.71,7.52,8.97,12.26,8.92,12.41,8.81,9.82,11.21,10.51,8.75,8.78,8.78,8.03,7.34,7.06,27.68,25.23,33.34,33.42,34.98,31.59,31.41,31.66,33.57,29.41,30.62,29.58,31.49,29.45,278.6,251.3,233.19,194.7,189.1,138.1,130.59,104.6,36.8,25.0,19.72,24.3,71.0,58.8,46.51,45.4,41.0,30.2,25.51,26.5,19.4,16.0,19.4,14.2,35.9,43.6,57.8,40.7,2.5,3.1,3.7,3.6,130.1,119.1,146.8,130.1,169.4,206.3,237.6,225.0
201.0,104959.4776119403,140.34912280701755,739284028.083871,8003854.0,37093.68333333333,4792,135.207,17.1,77.87785297698646,Brooklyn,26.95,25.08,25.84,23.63,22.85,22.43,21.69,21.44,21.19,21.93,21.4,19.63,20.55,22.6,21.41,21.34,19.39,18.89,17.27,17.04,16.59,16.36,17.47,19.22,14.72,17.18,32.48,28.07,32.23,26.94,27.66,29.9,26.82,25.71,26.74,28.11,26.69,29.27,24.77,11.93,10.57,11.51,10.27,10.0,10.54,10.49,9.46,8.98,8.72,8.56,7.04,7.67,12.17,13.32,12.84,11.69,11.54,10.37,11.0,9.8,10.79,9.85,9.93,7.95,9.63,14.25,10.22,14.07,10.37,11.63,13.51,10.85,10.19,9.3,10.07,9.24,8.59,7.99,27.11,25.56,32.54,31.61,32.73,29.77,30.47,30.97,32.96,28.98,28.98,27.77,29.71,27.79,60.8,59.6,43.52,27.4,36.6,28.2,26.91,19.9,28.9,20.5,15.84,15.9,64.0,45.6,37.08,29.9,18.4,10.0,8.23,6.6,5.8,3.5,3.6,1.0,9.5,10.3,6.4,4.8,3.5,3.6,3.5,3.1,27.0,26.9,32.1,27.6,42.7,58.6,50.5,36.5
202.0,156392.62585034015,0.4930327868852459,8219237.4973484855,83470.16762295082,870.8544520547945,10918,773.6236666666666,13.7,80.95212499547965,Brooklyn,28.4,26.46,26.64,23.98,23.41,22.67,21.87,21.65,21.12,21.14,19.98,18.26,18.78,25.21,22.6,22.21,20.18,19.95,17.79,17.42,17.32,16.62,16.37,17.99,12.96,14.56,33.61,29.32,33.0,27.09,28.16,29.89,27.03,25.72,26.27,27.19,24.83,28.64,23.9,11.5,10.49,11.14,9.9,9.46,9.99,9.89,8.86,8.35,7.85,7.44,6.69,7.1,11.71,12.73,12.26,11.12,10.95,9.87,10.29,9.15,10.12,8.91,8.9,7.41,9.08,14.16,10.67,13.85,10.44,11.11,12.93,10.05,9.84,8.52,9.38,8.15,8.55,7.31,26.11,23.08,30.94,29.54,30.66,28.04,29.32,29.76,31.98,27.92,28.54,27.61,28.79,28.7,99.3,89.1,76.93,46.4,60.9,40.7,35.78,24.1,28.6,19.8,15.67,14.4,58.9,40.5,36.04,26.5,20.7,13.1,10.24,7.8,7.9,6.6,5.2,2.3,16.5,20.5,17.1,12.5,4.9,4.2,4.3,3.2,51.4,43.5,42.9,34.3,77.1,95.3,87.6,62.6
203.0,106315.5,13.284357541899443,7006118.222631578,68886.09832402234,608.8980487804878,6420,248.41613333333333,21.6,75.36731157238168,Brooklyn,26.93,25.17,25.3,22.88,22.28,21.75,20.83,20.2,20.08,19.42,17.69,17.1,17.12,23.2,20.85,20.67,19.0,18.74,16.51,15.97,15.36,15.17,14.02,14.34,11.59,11.86,32.54,28.86,32.21,26.04,27.11,29.41,26.39,24.83,26.17,26.16,23.23,27.58,23.09,10.75,9.93,10.29,9.13,8.75,9.16,8.87,7.94,7.53,7.27,6.61,6.2,6.61,10.92,11.96,11.54,10.41,10.32,8.97,9.49,8.28,9.14,8.48,8.11,6.98,8.49,13.62,10.3,12.79,9.47,10.35,11.94,9.14,8.75,7.94,8.61,7.23,7.81,6.78,26.35,24.33,32.27,31.43,32.12,29.66,30.33,31.18,32.98,29.39,30.2,30.46,29.16,30.3,195.4,178.4,164.79,124.6,114.4,95.4,91.18,68.1,34.3,23.9,17.74,22.3,80.0,55.9,45.5,41.8,24.2,16.3,14.13,12.4,15.1,13.5,12.4,5.4,37.9,40.2,44.8,33.9,5.3,4.8,5.3,4.9,98.5,105.4,124.3,100.2,155.7,191.4,213.9,173.9
